totalMinutesPlayed,avgMinutesPlayed,totalFieldGoalsMade,avgFieldGoalsMade,sdFieldGoalsMade,totalFieldGoalsAttempted,avgFieldGoalsAttempted,avgFieldGoalPercentage,totalThreePointersMade,avgThreePointersMade,sdThreePointersMade,totalThreePointersAttempted,avgThreePointersAttempted,avgThreePointersPercentage,totalFreeThrowsAttempted,avgFreeThrowsAttempted,totalFreeThrowsMade,avgFreeThrowsMade,sdFreeThrowsMade,avgFreeThrowsPercentage,totalReboundsOffensive,avgReboundsOffensive,sdReboundsOffensive,totalReboundsDefensive,avgReboundsDefensive,sdReboundsDefensive,totalRebounds,avgRebounds,sdRebounds,totalAssists,avgAssists,sdAssists,totalSteals,avgSteals,sdSteals,totalBlocks,avgBlocks,sdBlocks,totalTurnovers,avgTurnovers,sdTurnovers,totalFouls,avgFouls,sdFouls,totalPoints,avgPoints,sdPoints,avgPlusMinusPoints,totalPlusMinusPoints,totalFieldGoalsPercentage,totalThreePointersPercentage,totalFreeThrowsPercentage
27,4.5,2,0.3333333333333333,0.5163977794943223,9,1.5,0.1945,1,0.16666666666666666,0.408248290463863,5,0.8333333333333334,0.03333333333333333,2,0.3333333333333333,1,0.16666666666666666,0.408248290463863,0.08333333333333333,1,0.16666666666666666,0.408248290463863,2,0.3333333333333333,0.5163977794943222,3,0.5,0.5477225575051661,0,0.0,0.0,1,0.16666666666666666,0.408248290463863,3,0.5,0.8366600265340756,0,0.0,0.0,1,0.16666666666666666,0.408248290463863,6,1.0,1.6733200530681511,-3.8333333333333335,-23,0.2222222222222222,0.2,0.5
27,5.4,2,0.4,0.894427190999916,6,1.2,0.1,0,0.0,0.0,2,0.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.6,0.894427190999916,4,0.8,1.788854381999832,-3.8,-19,0.3333333333333333,0.0,
227,18.916666666666668,34,2.8333333333333335,2.7247463045653304,97,8.083333333333334,0.3403333333333333,15,1.25,1.2154310870109943,45,3.75,0.3385,19,1.5833333333333333,13,1.0833333333333333,1.378954368902449,0.3194166666666667,8,0.6666666666666666,0.9847319278346618,29,2.4166666666666665,1.6213537179739277,37,3.0833333333333335,2.1933093855190746,11,0.9166666666666666,0.90033663737852,6,0.5,0.7977240352174656,1,0.08333333333333333,0.28867513459481287,7,0.5833333333333334,0.6685579234215215,20,1.6666666666666667,1.2309149097933272,96,8.0,6.522687678055307,1.1666666666666667,14,0.35051546391752575,0.3333333333333333,0.6842105263157895
56,8.0,6,0.8571428571428571,1.4638501094227998,15,2.142857142857143,0.22442857142857142,0,0.0,0.0,7,1.0,0.0,7,1.0,5,0.7142857142857143,1.2535663410560174,0.20242857142857143,1,0.14285714285714285,0.37796447300922725,15,2.142857142857143,2.410295378065479,16,2.2857142857142856,2.2886885410853175,0,0.0,0.0,3,0.42857142857142855,0.7867957924694432,0,0.0,0.0,4,0.5714285714285714,0.7867957924694432,14,2.0,2.23606797749979,17,2.4285714285714284,4.07664661444276,-2.4285714285714284,-17,0.4,0.0,0.7142857142857143
1619,34.4468085106383,280,5.957446808510638,2.46680083974745,581,12.361702127659575,0.4767021276595745,13,0.2765957446808511,0.6494856714145455,39,0.8297872340425532,0.10531914893617021,97,2.0638297872340425,74,1.574468085106383,1.611705562319455,0.511531914893617,95,2.021276595744681,1.847317228732187,301,6.404255319148936,2.787078683060261,396,8.425531914893616,3.8263655184105234,158,3.3617021276595747,1.737383488929278,40,0.851063829787234,0.8841287385171747,68,1.446808510638298,1.2302087245719528,80,1.702127659574468,1.3007505127395604,120,2.5531914893617023,1.3801151596294554,647,13.76595744680851,5.263544705587203,-2.1702127659574466,-102,0.4819277108433735,0.3333333333333333,0.7628865979381443
3575,32.79816513761468,490,4.495412844036697,2.5481433081211105,975,8.944954128440367,0.49859633027522937,172,1.5779816513761469,1.416134396619841,431,3.9541284403669725,0.38272477064220184,173,1.5871559633027523,137,1.2568807339449541,1.9264420751679079,0.4010091743119266,178,1.6330275229357798,1.4054164432171354,675,6.192660550458716,2.6890624285832803,853,7.825688073394495,3.1500853506874535,375,3.4403669724770642,1.9265743569800668,94,0.8623853211009175,0.9667422375466013,124,1.1376146788990826,1.2207154088534167,136,1.2477064220183487,1.2557715888585397,232,2.128440366972477,1.3951033244039048,1289,11.825688073394495,6.520401084995331,2.963302752293578,323,0.5025641025641026,0.3990719257540603,0.791907514450867
127,31.75,12,3.0,2.160246899469287,25,6.25,0.47400000000000003,0,0.0,0.0,4,1.0,0.0,7,1.75,4,1.0,2.0,0.16675,9,2.25,1.707825127659933,20,5.0,2.160246899469287,29,7.25,3.774917217635375,9,2.25,2.8722813232690143,1,0.25,0.5,5,1.25,0.5,3,0.75,1.5,14,3.5,1.7320508075688772,28,7.0,3.4641016151377544,-10.75,-43,0.48,0.0,0.5714285714285714
270,27.0,68,6.8,3.0110906108363245,136,13.6,0.48860000000000003,0,0.0,0.0,0,0.0,0.0,18,1.8,13,1.3,1.8287822299126937,0.32999999999999996,20,2.0,1.4142135623730951,51,5.1,2.378141197564929,71,7.1,3.1073389830457114,10,1.0,0.9428090415820634,5,0.5,0.5270462766947299,8,0.8,1.0327955589886444,7,0.7,0.8232726023485646,19,1.9,1.1005049346146119,149,14.9,6.136412270663989,-9.3,-93,0.5,,0.7222222222222222
139,34.75,36,9.0,3.366501646120693,68,17.0,0.51825,0,0.0,0.0,1,0.25,0.0,4,1.0,1,0.25,0.5,0.125,7,1.75,1.2583057392117916,27,6.75,1.8929694486000914,34,8.5,3.1091263510296048,10,2.5,1.0,5,1.25,0.9574271077563381,3,0.75,0.5,5,1.25,0.5,10,2.5,1.0,73,18.25,6.849574196011505,-17.25,-69,0.5294117647058824,0.0,0.25
148,29.6,17,3.4,1.816590212458495,31,6.2,0.5416000000000001,7,1.4,1.140175425099138,11,2.2,0.6534,19,3.8,15,3.0,2.9154759474226504,0.6082,14,2.8,0.8366600265340756,22,4.4,2.701851217221259,36,7.2,3.271085446759225,6,1.2,1.0954451150103321,10,2.0,1.8708286933869707,8,1.6,1.140175425099138,6,1.2,1.0954451150103321,15,3.0,1.8708286933869707,56,11.2,5.805170109479997,3.6,18,0.5483870967741935,0.6363636363636364,0.7894736842105263
